percentage
0.6125
0.975
0.7875
0.875
0.85
0.5125
0.8125
0.725
0.7875
0.6625
0.9375
0.25
0.975
0.9125
0.6
0.7875
0.9
0.825
0.9625
0.875
1
0.9125
0.8875
0.825
0.7375
0.775
0.9
0.6
0.1625
0.8
0.925
0.9
0.85
0.875
0.3625
0.6
