Vowel,F1,F2
i,302.3,2390.78
i,372.23,2989.94
i,392.8,2908.31
i,419.66,3160.98
i,312.94,2956.95
i,390.89,2987.48
i,320.82,2888.68
i,399.23,3073.67
i,376.68,2860.72
i,389.2,2971.46
i,462.02,2744.04
i,411.63,3152.03
i,255.22,2502.88
i,290.56,3042.98
i,418.1,3135.23
i,375.78,3000.2
i,380.82,2886.52
i,377.84,2461.73
i,334.52,2416.23
i,352.67,2830.13
i,348.82,2867.01
i,360.66,3040.38
i,350.54,2985.43
i,455.84,3120.79
i,291.63,2570.26
i,360.48,3128.31
i,344.9,2480
i,294.35,2852.02
i,346,2649
i,301.87,3042.7
u,328.52,1138.56
u,397.84,1152.43
u,255.7,1146.97
u,343.32,1039.36
u,309.03,1333.13
u,399.68,1158.18
u,387.51,1090.53
u,369.81,1352.32
u,320.29,1067.92
u,389.35,1942.16
u,577.2,1722.43
u,442.5,1808.92
u,261.24,1271.42
u,298.05,1375.66
u,400.76,952.7
u,371.28,1032.81
u,348.79,932.25
u,394.65,1258.56
u,374.06,1345.22
u,412.33,1156.71
u,373.34,1680.97
u,383.62,1643.69
u,367.61,1197.94
u,394.94,978.08
u,442.86,1459.65
u,424.46,1150.69
u,372.6,1121.12
u,359.42,1930.1
u,390,1246
u,308.43,1226.88
c,790.62,1093.18
c,969.09,1252.8
c,749.67,995.36
c,928.06,1469.59
c,936.54,1260.25
c,788.74,1470.94
c,949.97,1296.93
c,675.93,1132.31
c,728.05,1256.67
c,711.24,1094.36
c,717.17,1330.6
c,986.62,1104.72
c,819.76,1008.57
c,726.63,1139.03
c,900.5,1152.08
c,741.43,1190.51
c,873.99,1114.72
c,878.13,1367.22
c,726.91,1085.18
c,826.46,1077.3
c,741.59,1283.3
c,874.95,1194.75
c,798.58,1106.31
c,878.6,1208.87
c,798.07,1027.79
c,960.94,1193.48
c,649.9,1084.2
c,804.61,1126.54
c,912,1382
c,992.59,1309.63
¾,443.24,2225.84
¾,549.49,2572.6
¾,411.89,2790.8
¾,423.67,2198.02
¾,441.61,2166.43
¾,438.64,3016.51
¾,460,2613.79
¾,381.91,2837.63
¾,478.46,2599.54
¾,452.66,2766.02
¾,484.83,2585.78
¾,435.75,2529.15
¾,418.43,2404.21
¾,459.47,2568.68
¾,481.11,2341.39
¾,397.85,2767.02
¾,519.01,2438.46
¾,362.86,2231.69
¾,517.95,2680.01
¾,425.2,2366.15
¾,466.26,2738.67
¾,553.69,2780.31
¾,461.72,2781.67
¾,549.58,3067.69
¾,321.45,2340.74
¾,402.78,2963.88
¾,342.9,2230.2
¾,388.9,2654.93
¾,660,2637
¾,314.17,2591.77
U,727.88,1347.71
U,1019.08,1651.79
U,778.69,1846.98
U,898.47,1469.59
U,922.02,1552.29
U,791.98,1568.53
U,955.35,1661.89
U,635.87,1467.31
U,725.52,1657.32
U,675.83,1568.08
U,883.83,1587.53
U,774.65,1458.63
U,744.55,1385.79
U,821.83,1539.27
U,803.07,1445.62
U,831.67,1711.7
U,936.26,1656.49
U,755.52,1647.51
U,941.5,1696.16
U,824.92,1436.25
U,753.91,1547.59
U,948.65,1587.59
U,822.43,1395.01
U,840.19,1348.26
U,561.53,1292.55
U,916.58,1507.38
U,580.6,1298.1
U,918.21,1496.58
U,894,1856
U,826.64,1623.49
